Zaman(s);Hata_e(t);Cikis_u(t);Hiz(m/s)
0.0000;0.0000;0.0000;0.0000
0.0200;0.0000;0.0001;0.8237
0.0400;0.0005;0.0016;1.5698
0.0600;0.0009;0.0018;2.2465
0.0800;0.0008;0.0005;2.8609
0.1000;0.0008;0.0008;3.4198
0.1200;0.0014;0.0028;3.9290
0.1400;0.0014;0.0013;4.3938
0.1600;0.0048;0.0117;3.5916
0.1800;0.0072;0.0119;3.0581
0.2000;0.0096;0.0145;3.1783
0.2200;0.0096;0.0096;3.3978
0.2400;0.0099;0.0106;3.6171
0.2600;0.0105;0.0116;3.8189
0.2800;0.0090;0.0060;4.0013
0.3000;0.0081;0.0065;4.1657
0.3200;0.0068;0.0042;4.3137
0.3400;0.0058;0.0039;4.4469
0.3600;0.0027;-0.0036;4.5668
0.3800;0.0035;0.0055;4.6692
0.4000;0.0070;0.0141;4.7644
0.4200;0.0097;0.0154;4.8518
0.4400;0.0119;0.0164;4.9305
0.4600;0.0149;0.0213;5.0014
0.4800;0.0169;0.0210;5.0651
0.5000;0.0191;0.0239;5.1225
0.5200;0.0186;0.0178;5.1742
0.5400;0.0215;0.0275;5.2207
0.5600;0.0235;0.0280;5.2625
0.5800;0.0257;0.0305;5.3002
0.6000;0.0255;0.0252;5.3341
0.6200;0.0251;0.0246;5.3647
0.6400;0.0279;0.0341;5.3921
0.6600;0.0304;0.0360;5.4169
0.6800;0.0322;0.0364;5.4391
0.7000;0.0345;0.0398;5.4592
0.7200;0.0363;0.0406;5.4772
0.7400;0.0362;0.0367;5.4935
0.7600;0.0363;0.0372;5.5081
0.7800;0.0357;0.0351;5.5212
0.8000;0.0367;0.0396;5.5331
0.8200;0.0383;0.0427;5.5437
0.8400;0.0382;0.0389;5.5533
0.8600;0.0382;0.0394;5.5620
0.8800;0.0354;0.0309;5.5698
0.9000;0.0308;0.0227;5.5768
0.9200;0.0266;0.0195;5.5831
0.9400;0.0295;0.0369;5.5887
0.9600;0.0314;0.0368;5.5938
0.9800;0.0305;0.0301;5.5984
1.0000;0.0326;0.0383;5.6026
1.0200;0.0342;0.0391;5.6063
1.0400;0.0358;0.0407;5.6096
1.0600;0.0376;0.0431;5.6127
1.0800;0.0394;0.0448;5.6132
1.1000;0.0366;0.0329;5.6136
1.1200;0.0344;0.0317;5.6159
1.1400;0.0339;0.0351;5.6527
1.1600;0.0273;0.0159;5.6503
1.1800;0.0280;0.0316;5.6511
1.2000;0.0285;0.0318;5.6518
1.2200;0.0259;0.0230;5.6524
1.2400;0.0237;0.0216;5.6530
1.2600;0.0214;0.0192;5.6535
1.2800;0.0192;0.0175;5.6539
1.3000;0.0169;0.0149;5.6543
1.3200;0.0147;0.0127;5.6547
1.3400;0.0076;-0.0041;5.6550
1.3600;0.0103;0.0187;5.6553
1.3800;0.0059;-0.0003;5.6556
1.4000;0.0099;0.0208;5.6559
1.4200;0.0032;-0.0075;5.6561
1.4400;0.0061;0.0149;5.6403
1.4600;0.0050;0.0055;5.6250
1.4800;-0.0072;-0.0291;5.6348
1.5000;-0.0054;0.0012;5.6379
1.5200;-0.0242;-0.0596;5.6384
1.5400;-0.0384;-0.0642;5.6384
1.5600;-0.0535;-0.0809;5.6383
1.5800;-0.0689;-0.0972;5.6382
1.6000;-0.0827;-0.1076;5.6380
1.6200;-0.0960;-0.1199;5.6379
1.6400;-0.1070;-0.1266;5.6379
1.6600;-0.1156;-0.1302;5.6378
1.6800;-0.1220;-0.1324;5.6377
1.7000;-0.1256;-0.1306;5.6376
1.7200;-0.1270;-0.1276;5.6376
1.7400;-0.1271;-0.1254;5.6375
1.7600;-0.1251;-0.1191;5.6374
1.7800;-0.1194;-0.1063;5.6374
1.8000;-0.1149;-0.1047;5.6613
1.8200;-0.1114;-0.1032;5.7590
1.8400;-0.1082;-0.1010;5.7215
1.8600;-0.1052;-0.0988;5.7131
1.8800;-0.0981;-0.0833;5.7106
1.9000;-0.0981;-0.0982;5.7095
1.9200;-0.0988;-0.1005;5.7086
1.9400;-0.1012;-0.1066;5.7077
1.9600;-0.1053;-0.1144;5.7069
1.9800;-0.1105;-0.1218;5.7063
2.0000;-0.1163;-0.1292;5.7056
2.0200;-0.1222;-0.1351;5.7050
2.0400;-0.1197;-0.1161;5.7045
2.0600;-0.1249;-0.1371;5.7040
2.0800;-0.1275;-0.1347;5.7036
2.1000;-0.1296;-0.1359;5.7032
2.1200;-0.1299;-0.1330;5.7029
2.1400;-0.1285;-0.1281;5.7025
2.1600;-0.1262;-0.1245;5.7023
2.1800;-0.1228;-0.1191;5.7020
2.2000;-0.1189;-0.1142;5.7018
2.2200;-0.1036;-0.0762;5.7016
2.2400;-0.1007;-0.0988;5.7014
2.2600;-0.0970;-0.0938;5.7012
2.2800;-0.0934;-0.0905;5.7011
2.3000;-0.0895;-0.0861;5.7010
2.3200;-0.0864;-0.0851;5.7009
2.3400;-0.0832;-0.0817;5.7008
2.3600;-0.0802;-0.0794;5.7007
2.3800;-0.0768;-0.0753;5.7006
2.4000;-0.0622;-0.0380;5.7005
2.4200;-0.0612;-0.0651;5.7005
2.4400;-0.0586;-0.0595;5.7004
2.4600;-0.0559;-0.0565;5.7004
2.4800;-0.0528;-0.0527;5.7003
2.5000;-0.0379;-0.0142;5.7001
2.5200;-0.0219;0.0041;5.7001
2.5400;-0.0047;0.0236;5.7001
2.5600;0.0050;0.0177;5.7002
2.5800;0.0314;0.0780;5.7000
2.6000;0.0393;0.0484;5.7001
2.6200;0.0525;0.0721;5.7000
2.6400;0.0639;0.0799;5.7000
2.6600;0.0733;0.0853;5.7001
2.6800;0.0808;0.0890;5.7001
2.7000;0.0845;0.0853;5.7000
2.7200;0.0868;0.0847;5.7001
